Ensembl Gene ID	Chromosome Name	Gene Start (bp)	Gene End (bp)	% GC content	Gene type
ENSG00000252760	1	111041834	111041925	50.00	rRNA
ENSG00000252830	1	143439605	143439714	44.55	rRNA
ENSG00000207241	1	75787889	75787972	35.71	snoRNA
ENSG00000251861	1	204727991	204728106	55.17	scaRNA
ENSG00000117650	1	211658657	211675630	39.50	protein_coding
ENSG00000202041	1	240154651	240154772	36.07	misc_RNA
ENSG00000264358	1	212077613	212077685	50.68	miRNA
ENSG00000233427	1	28870483	28877336	49.15	antisense
ENSG00000207209	1	147420199	147420300	41.18	misc_RNA
ENSG00000273573	1	181668749	181669028	52.50	misc_RNA
ENSG00000252262	1	162338643	162338742	43.00	rRNA
ENSG00000224466	1	86552625	86553342	60.86	processed_pseudogene
ENSG00000223026	1	81251789	81252096	43.51	misc_RNA
ENSG00000199459	1	85435175	85435284	43.64	misc_RNA
ENSG00000206905	1	180519016	180519119	44.23	misc_RNA
ENSG00000276563	1	178017127	178017343	40.55	processed_pseudogene
ENSG00000266187	1	150211632	150211925	58.50	misc_RNA
ENSG00000231057	1	211675762	211690103	45.91	antisense
ENSG00000206767	1	27675603	27675709	40.19	snRNA
ENSG00000242688	1	19970969	19971269	54.49	misc_RNA
ENSG00000206637	1	201978461	201978595	51.11	snoRNA
ENSG00000239504	1	88477828	88478114	53.66	misc_RNA
ENSG00000274975	1	43448539	43448611	63.01	miRNA
ENSG00000252717	1	101859851	101859957	41.12	snRNA
ENSG00000264881	1	10227718	10227803	54.65	miRNA
ENSG00000264720	1	66628440	66628517	46.15	miRNA
ENSG00000208024	1	172144535	172144644	53.64	miRNA
ENSG00000120341	1	177923956	177984303	43.66	protein_coding
ENSG00000252368	1	37264677	37264786	46.36	rRNA
ENSG00000206651	1	156484098	156484210	41.59	misc_RNA
ENSG00000252231	1	173921070	173921200	45.04	rRNA
ENSG00000276493	1	32087523	32087813	51.89	misc_RNA
ENSG00000273544	1	28580381	28580512	50.76	snoRNA
ENSG00000238761	1	112371004	112371107	41.35	snoRNA
ENSG00000278034	1	24919345	24919416	59.72	miRNA
ENSG00000252530	1	101728642	101728737	37.50	snRNA
ENSG00000268154	1	154950210	154950492	55.48	misc_RNA
ENSG00000239560	1	44117098	44117397	54.67	misc_RNA
ENSG00000222511	1	8796571	8796673	33.98	misc_RNA
ENSG00000277704	1	242890247	242890803	71.10	processed_pseudogene
ENSG00000201588	1	228612509	228612627	60.50	rRNA
ENSG00000242482	1	67656831	67657129	46.15	misc_RNA
ENSG00000207082	1	164639565	164639671	43.93	snRNA
ENSG00000222407	1	231281414	231281524	47.75	rRNA
ENSG00000201003	1	53771018	53771153	47.79	snoRNA
ENSG00000199241	1	240698320	240698429	40.00	misc_RNA
ENSG00000253025	1	176243862	176244029	44.05	snRNA
ENSG00000276735	1	193236794	193237107	52.23	misc_RNA
ENSG00000252290	1	237555040	237555171	36.36	snoRNA
ENSG00000174567	1	204198160	204214092	47.52	protein_coding
ENSG00000238754	1	193057281	193057415	40.00	snoRNA
ENSG00000278939	1	150302770	150303291	39.66	protein_coding
ENSG00000229294	1	65279456	65306521	40.17	antisense
ENSG00000234144	1	65298755	65298980	42.48	processed_pseudogene
ENSG00000251837	1	93027410	93027506	38.14	misc_RNA
ENSG00000201868	1	35195969	35196062	44.68	misc_RNA
ENSG00000266144	1	162157107	162157182	56.58	miRNA
ENSG00000252236	1	156192063	156192203	47.52	snoRNA
ENSG00000222282	1	37885023	37885117	34.74	snRNA
ENSG00000212237	1	228647912	228648032	56.20	rRNA
ENSG00000280316	1	156597173	156599410	49.11	protein_coding
ENSG00000221888	1	247757462	247758406	47.83	protein_coding
ENSG00000143224	1	161166410	161178013	53.01	protein_coding
ENSG00000202079	1	247294835	247294941	43.93	misc_RNA
